,Location,Price,Total_area,House_type,Floor,Rooms,Bathrooms,submission_date,Year_of_construction
0,Οικισμός Μακεδονία (Πανόραμα),€350.000, 155τ.μ.,Μεζονέτα,ΙΣ,4,2,05/06/2025,2017
1,Κέντρο (Χορτιάτης),€180.000, 150τ.μ.,Διαμέρισμα,ΙΣ,3,1,08/04/2025,2017
2,Βίλλα Ρίτζ - Οικισμός Τοπογράφων (Πανόραμα),€1.000.000, 300τ.μ.,Μονοκατοικία,ΙΣ,3,5,15/04/2025,2017
3,Οικισμός Μακεδονία (Πανόραμα),€320.000, 163τ.μ.,Μεζονέτα,ΙΣ,3,2,08/02/2025,2017
4,Οικισμός Μακεδονία (Πανόραμα),€320.000, 163τ.μ.,Μεζονέτα,ΗΜ/ΥΠ,3,2,08/06/2025,2017
5,Λαγυνά (Λαγκαδάς),€190.000, 195τ.μ.,Μεζονέτα,ΙΣ,3,1,31/05/2025,2017
6,Σταθμός ΟΣΕ (Βαρδάρης - Λαχανόκηποι),€215.000, 75τ.μ.,Διαμέρισμα,8,3,1,02/06/2025,2017
7,Λαγυνά (Λαγκαδάς),€190.000, 190τ.μ.,Μεζονέτα,ΙΣ,3,1,31/05/2025,2017
8,Λαγυνά (Λαγκαδάς),€220.000, 187τ.μ.,Μεζονέτα,1,3,1,05/06/2025,2017
9,Λαγυνά (Λαγκαδάς),€220.000, 190τ.μ.,Μεζονέτα,1,3,2,08/06/2025,2017
10,Αντιγονιδών (Κέντρο Θεσσαλονίκης),€105.000, 34τ.μ.,Studio / Γκαρσονιέρα,3,1,1,05/06/2025,2017
11,Τερψιθέα (Άνω Πόλη),€209.000, 90τ.μ.,Διαμέρισμα,1,2,1,06/06/2025,2017
12,Τερψιθέα (Άνω Πόλη),€390.000, 170τ.μ.,Μονοκατοικία,ΙΣ,4,3,06/06/2025,2017
13,Τερψιθέα (Άνω Πόλη),€89.000, 40τ.μ.,Studio / Γκαρσονιέρα,ΙΣ,1,1,06/06/2025,2017
14,Τριάδιο (Θέρμη),€220.000, 230τ.μ.,Μεζονέτα,ΙΣ,5,1,07/06/2025,2017
15,Λαγυνά (Λαγκαδάς),€220.000, 187τ.μ.,Μεζονέτα,ΙΣ,3,2,07/06/2025,2017
16,Συνοικισμός Νόμου 751 (Πανόραμα),€320.000, 165τ.μ.,Μεζονέτα,ΙΣ,4,3,02/06/2025,2017
17,Άνω Πόλη (Θεσσαλονίκη - Δήμος),€209.000, 90τ.μ.,Διαμέρισμα,1,2,1,06/06/2025,2017
18,Τριάδιο (Θέρμη),€225.000, 230τ.μ.,Μεζονέτα,ΙΣ,5,1,29/08/2024,2017
19,Άνω Πόλη (Θεσσαλονίκη - Δήμος),€400.000, 212τ.μ.,Μονοκατοικία,1,4,3,06/06/2025,2017
20,Άνω Εύοσμος (Εύοσμος),€230.000, 130τ.μ.,Διαμέρισμα,3,3,1,23/05/2025,2017
21,Άνω Πόλη (Θεσσαλονίκη - Δήμος),€80.000, 48τ.μ.,Διαμέρισμα,ΙΣ,1,1,06/06/2025,2017
22,Λαγκαδάς (Θεσσαλονίκη - Υπόλ. Νομού),€190.000, 187τ.μ.,Μονοκατοικία,ΙΣ,3,3,07/06/2025,2017
23,Βούλγαρη - Ντεπώ - Μαρτίου (Θεσσαλονίκη - Δήμος),€850.000, 157τ.μ.,Διαμέρισμα,4,2,1,06/04/2023,2017
24,Νέα Παραλία (Ανάληψη - Μπότσαρη - Νέα Παραλία),€850.000, 158τ.μ.,Διαμέρισμα,4,3,1,28/08/2023,2017
25,Νέα Παραλία (Ανάληψη - Μπότσαρη - Νέα Παραλία),€140.000, 62τ.μ.,Διαμέρισμα,1,2,1,26/04/2025,2017
